URLs,Classnames,Format,Type
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90085_submitter_file1__Screenshot20180207014826.png,volcano,png,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90085_submitter_file2__20180207033558.jpg,jellyfish,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90085_submitter_file3__20180207033501.jpg,volcano,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90085_submitter_file4__20180207033716.jpg,matchstick,jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90088_submitter_file1__20180206193041.mp4,"nematode, nematode worm, roundworm",mp4,video
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90090_submitter_file1__IMG0432.jpg,"traffic light, traffic signal, stoplight",jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90093_submitter_file1__Feb06unk.gif,"puck, hockey puck",gif,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90095_submitter_file1__32E02885EF69457EAF3E70D32B7F891E.jpeg,"lakeside, lakeshore",jpeg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90095_submitter_file2__B301B90A39624D4AAB5DC9F2F761BCCE.MOV,chainlink fence,MOV,video
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90095_submitter_file3__A712CE92378C48B9811A8F371D2A3039.jpeg,chainlink fence,jpeg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90099_submitter_file1__ufo1.jpg,"lakeside, lakeshore",jpg,image
http://localhost:8764/inception/v4/classify/video?topn=1&min_confidence=0.03&url=http://www.mufoncms.com/files_jeud8334j/90099_submitter_file2__ufo2.jpg,"lakeside, lakeshore",jpg,image
